Name,Description,Category
Khadijah bint Khuwaylid,First person to accept Islam,Sahabas - Order of Accepting Islam
Ali ibn Abi Talib,First youth/child,Sahabas - Order of Accepting Islam
Zayd ibn Harithah,First freed slave,Sahabas - Order of Accepting Islam
Abu Bakr as-Siddiq,First free man,Sahabas - Order of Accepting Islam
Uthman ibn Affan,accepted early,Sahabas - Order of Accepting Islam
Zubayr ibn al-Awwam,accepted early,Sahabas - Order of Accepting Islam
AbdurRahman ibn Awf,accepted early,Sahabas - Order of Accepting Islam
Sa'd ibn Abi Waqqas,accepted early,Sahabas - Order of Accepting Islam
Talha ibn Ubaydillah,accepted early,Sahabas - Order of Accepting Islam
Umar ibn al-Khattab,"accepted later, ~6th year of Prophethood",Sahabas - Order of Accepting Islam
Ghazwa of Abwa,2 AH - First Ghazwa,Ghazwas - Chronological Order
Ghazwa of Badr,2 AH - Major battle,Ghazwas - Chronological Order
Ghazwa of Uhud,3 AH,Ghazwas - Chronological Order
Ghazwa of Banu Nadhir,4 AH,Ghazwas - Chronological Order
Ghazwa of Khandaq,5 AH - Battle of Trench,Ghazwas - Chronological Order
Ghazwa of Banu Qurayzah,5 AH,Ghazwas - Chronological Order
Ghazwa of Hudaybiyyah,6 AH,Ghazwas - Chronological Order
Ghazwa of Khaybar,7 AH,Ghazwas - Chronological Order
Conquest of Makkah,8 AH,Ghazwas - Chronological Order
Ghazwa of Tabuk,9 AH - Last Ghazwa,Ghazwas - Chronological Order
Miswak,7th Century - Oral Hygiene,Muslim Inventions - Chronological
Windmill,7th-9th Century,Muslim Inventions - Chronological
Astrolabe,777 CE - Al-Fazari,Muslim Inventions - Chronological
House of Wisdom,c. 810 CE,Muslim Inventions - Chronological
Algebra,9th Century - Al-Khwarizmi,Muslim Inventions - Chronological
Kerosene Lamp,9th Century - Al-Razi,Muslim Inventions - Chronological
University,859 CE - Al-Qarawiyyin,Muslim Inventions - Chronological
Soap,9th Century,Muslim Inventions - Chronological
Surgical Instruments,10th Century - Al-Zahrawi,Muslim Inventions - Chronological
Optics / Pin-hole Camera,11th Century - Ibu al-Haytham,Muslim Inventions - Chronological
Rashidun Caliphate,632 CE,Muslim Empires - Chronological Start
Umayyad Caliphate,661 CE,Muslim Empires - Chronological Start
Abbasid Caliphate,750 CE,Muslim Empires - Chronological Start
Idrisid Dynasty,788 CE,Muslim Empires - Chronological Start
Fatimid Caliphate,909 CE,Muslim Empires - Chronological Start
Seljuq Empire,1037 CE,Muslim Empires - Chronological Start
Ayyubid Dynasty,1171 CE,Muslim Empires - Chronological Start
Mamluk Sultanate,1250 CE,Muslim Empires - Chronological Start
Ottoman Empire,1299 CE,Muslim Empires - Chronological Start
Mughal Empire,1526 CE,Muslim Empires - Chronological Start
Adam,AS,Prophets - Chronological Order
Nuh,AS,Prophets - Chronological Order
Ibrahim,AS,Prophets - Chronological Order
Ismail,AS,Prophets - Chronological Order
Ishaq,AS,Prophets - Chronological Order
Yaqub,AS,Prophets - Chronological Order
Yusuf,AS,Prophets - Chronological Order
Musa,AS,Prophets - Chronological Order
Isa,AS,Prophets - Chronological Order
Muhammad,SAW,Prophets - Chronological Order
Mercury,1,Solar System Planets - Distance from Sun
Venus,2,Solar System Planets - Distance from Sun
Earth,3,Solar System Planets - Distance from Sun
Mars,4,Solar System Planets - Distance from Sun
Jupiter,5,Solar System Planets - Distance from Sun
Saturn,6,Solar System Planets - Distance from Sun
Uranus,7,Solar System Planets - Distance from Sun
Neptune,8,Solar System Planets - Distance from Sun
Asia,1,Continents - By Area (Large to Small)
Africa,2,Continents - By Area (Large to Small)
North America,3,Continents - By Area (Large to Small)
South America,4,Continents - By Area (Large to Small)
Antarctica,5,Continents - By Area (Large to Small)
Europe,6,Continents - By Area (Large to Small)
Australia,7,Continents - By Area (Large to Small)
Second Lieutenant,1,Army Ranks (Pakistan) - Ascending Order
Lieutenant,2,Army Ranks (Pakistan) - Ascending Order
Captain,3,Army Ranks (Pakistan) - Ascending Order
Major,4,Army Ranks (Pakistan) - Ascending Order
Lieutenant Colonel,5,Army Ranks (Pakistan) - Ascending Order
Colonel,6,Army Ranks (Pakistan) - Ascending Order
Brigadier,7,Army Ranks (Pakistan) - Ascending Order
Major General,8,Army Ranks (Pakistan) - Ascending Order
Lieutenant General,9,Army Ranks (Pakistan) - Ascending Order
General,10,Army Ranks (Pakistan) - Ascending Order
Pilot Officer,1,Air Force Ranks (Pakistan) - Ascending Order
Flying Officer,2,Air Force Ranks (Pakistan) - Ascending Order
Flight Lieutenant,3,Air Force Ranks (Pakistan) - Ascending Order
Squadron Leader,4,Air Force Ranks (Pakistan) - Ascending Order
Wing Commander,5,Air Force Ranks (Pakistan) - Ascending Order
Group Captain,6,Air Force Ranks (Pakistan) - Ascending Order
Air Commodore,7,Air Force Ranks (Pakistan) - Ascending Order
Air Vice Marshal,8,Air Force Ranks (Pakistan) - Ascending Order
Air Marshal,9,Air Force Ranks (Pakistan) - Ascending Order
Air Chief Marshal,10,Air Force Ranks (Pakistan) - Ascending Order
Midshipman,1,Navy Ranks (Pakistan) - Ascending Order
Sub-Lieutenant,2,Navy Ranks (Pakistan) - Ascending Order
Lieutenant,3,Navy Ranks (Pakistan) - Ascending Order
Lieutenant Commander,4,Navy Ranks (Pakistan) - Ascending Order
Commander,5,Navy Ranks (Pakistan) - Ascending Order
Captain,6,Navy Ranks (Pakistan) - Ascending Order
Commodore,7,Navy Ranks (Pakistan) - Ascending Order
Rear Admiral,8,Navy Ranks (Pakistan) - Ascending Order
Vice Admiral,9,Navy Ranks (Pakistan) - Ascending Order
